,ID,Tweet
2017-12-04 19:44:37,937769631955030016,pope franci visit myanmar bangladesh display disappoint lack moral courag
2017-12-04 19:44:21,937769563449712641,tri weep way seen reveal made cri
2017-12-04 19:43:41,937769393777496064,wisdom self control need polic offic view mistrust seen almost enemi instead
2017-12-04 19:43:23,937769319139823617,advent increas hope hope disappoint lord never let us p
2017-12-04 19:43:23,937769318728658944,2018 condon lectur seri schedul offici jan 17 religion america stand today fmr newsw
2017-12-04 19:42:10,937769014465564672,pope franci god call make excus via
2017-12-04 19:41:58,937768965526364161,pope franci visit myanmar bangladesh display disappoint lack moral courag
2017-12-04 19:41:46,937768913487704068,pope franci god call make excus via
2017-12-04 19:41:39,937768883422887937,vaticannuclear potenti histor moment faith base engag nuclear disarma say
2017-12-04 19:41:15,937768784483536896,pope franci god call make excus vatican citi dec 4 2017 01 59 pm ewtn news cna
2017-12-04 19:40:21,937768558687391744,pope franci warn peopl take care grandpar futur
2017-12-04 19:40:17,937768538659418115,pope franci cathol church obama god help us popefr
2017-12-04 19:39:52,937768436310200321,pope franci warn peopl take care grandpar futur
2017-12-04 19:39:09,937768253492883457,pope franci pray grandpar decemb via
2017-12-04 19:38:37,937768122085453828,integr mean allow refuge migrant paicip fulli life societi welcom
2017-12-04 19:38:36,937768116548980736,peopl stand near advent wreath st stephen basilica budapest hungari advent time watch
2017-12-04 19:37:26,937767823325220864,catholicnew popefr reach ethicallimit nuclearweapon
2017-12-04 19:37:17,937767786947993605,pope franci call respons plight face displac peopl test human test
2017-12-04 19:36:54,937767688696295431,pope franci releas messag 2018 world day vocat
2017-12-04 19:36:34,937767606437720064,grate beacon hope global stage everi singl day faith becom tangibl find ex
2017-12-04 19:36:34,937767604428648450,icymi pope franci ask weekend caus chang church teach deterr
2017-12-04 19:36:23,937767556861104129,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 19:36:17,937767534316654592,never miss mass pope franci said better atheist bad christian vote roymoor
2017-12-04 19:36:11,937767508723027968,pope franci direct refer rohingya peopl myanmar persecut muslim minor name first time hi
2017-12-04 19:35:48,937767411456995328,skeptic believ world govern grow sinc jfk pope franci believ
2017-12-04 19:35:27,937767323762679809,dream pope franci amp stress ab mock forgot learn sermon amp let entir
2017-12-04 19:35:06,937767233815760898,pope franci visit myanmar bangladesh display disappoint lack moral courag
2017-12-04 19:35:01,937767213913837575,pope franci world govern must rule u good via jesuit
2017-12-04 19:34:38,937767117902045184,hear religi right like pope franci understand unlik pope spoke judg
2017-12-04 19:34:23,937767053829791746,via new manifesto rome urg prayer pope franci popefr cathol trcot
2017-12-04 19:33:49,937766912741666817,pope franci end trip bangladesh visit mother teresa home
2017-12-04 19:32:48,937766656901861376,pope franci popular worldwid young conserv question approach via
2017-12-04 19:32:44,937766640376168448,pope franci messag 2018 world day vocat victim chanc swept
2017-12-04 19:32:38,937766615097192449,pope franci pray grandpar decemb via
2017-12-04 19:31:50,937766412319371265,pope franci prayer intent decemb elder vatican radio
2017-12-04 19:31:34,937766348008157185,lead palestinian christian group urg pope franci reject isra govern invit launch 2018
2017-12-04 19:30:41,937766122165645312,pope franci meet rohingya refuge moment cri tri hide cri http
2017-12-04 19:30:08,937765983804149765,cardin evolv beyond state right wrong thank pope franci comment news lifesit
2017-12-04 19:30:05,937765972588580866,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 19:29:25,937765805659492352,pope franci want hear young peopl age 16 29 fill onlin survey dec 31 give
2017-12-04 19:29:22,937765794431340544,pope franci elev communion adulter authent magisterium
2017-12-04 19:29:11,937765746859560960,pope franci world govern must rule u good via jesuit
2017-12-04 19:28:48,937765649115475970,final cathol church put pope franci notic final cover g
2017-12-04 19:28:18,937765526335574017,protect duti recogn defend inviol digniti flee real danger sear
2017-12-04 19:27:23,937765292914216960,lead palestinian christian group urg pope franci reject isra govern invit launch 2018
2017-12-04 19:26:41,937765116057194497,impoant pope franci gave author authent magisterium letter argentinian bishop
2017-12-04 19:26:25,937765052245037056,break news vatican announc pope franci aprov new rite penanc would allow peni
2017-12-04 19:26:04,937764962465910785,pope franci end asia tour meet rohingya
2017-12-04 19:25:55,937764923974848512,impact investor third time one year vatican tonight respond global challeng inspir
2017-12-04 19:25:45,937764882132299776,lead palestinian christian group urg pope franci reject isra govern invit launch 2018
2017-12-04 19:25:45,937764881641758721,4 year ago today interview news pope franci graphic made look like new pope http
2017-12-04 19:25:33,937764834333958144,wise reflect relic relationship saint canada prepar receiv relic st fran
2017-12-04 19:25:17,937764766575185920,hear religi right like pope franci understand unlik pope spoke judg
2017-12-04 19:25:07,937764722379776001,pope franci god call make excus vatican citi dec 4 2017 11 59 cna ewtn news
2017-12-04 19:25:07,937764722350452737,pope franci god call make excus via
2017-12-04 19:24:51,937764654230786049,pope franci ordain 16 men priesthood bangladesh cathol vocat
2017-12-04 19:24:38,937764601923624960,impact investor third time one year vatican tonight respond global challeng inspir
2017-12-04 19:24:20,937764525515796480,retweet pope franci faith becom tangibl find express love especi
2017-12-04 19:24:06,937764467852668929,pope franci ordain 16 men priesthood bangladesh cathol
2017-12-04 19:22:08,937763971310018560,vatican irrat immor issu tend via
2017-12-04 19:21:46,937763881077891073,pope franci warn terror gossip end
2017-12-04 19:21:36,937763837939347458,icymi pope franci ask weekend caus chang church teach deterr
2017-12-04 19:21:18,937763761343131649,pope franci seem speak direct gop trump time
2017-12-04 19:20:48,937763635908227073,thorough sick doublespeak ensu confus pope fra
2017-12-04 19:20:29,937763559290867718,pope franci elev communion adulter authent magisterium
2017-12-04 19:20:26,937763546171142144,hear religi right like pope franci understand unlik pope spoke judg
2017-12-04 19:19:56,937763418475515912,regardless discourag word rememb keep pray
2017-12-04 19:19:33,937763323369721857,pope franci meet rohingya refuge moment cri tri hide cri http
2017-12-04 19:19:21,937763273268715521,pope franci said cold war era polici nuclear deterr longer viabl mere possess nuclear weapon
2017-12-04 19:19:03,937763194562596864,impact investor third time one year vatican tonight respond global challeng inspi
2017-12-04 19:19:01,937763189269454848,impoant pope franci gave author authent magisterium letter argentinian bishop
2017-12-04 19:18:33,937763069626933248,day wept bin twist diplomaci toward myanmar amp spoke mind organis want kick 16 ro
2017-12-04 19:18:06,937762956720463872,presenc god today also call rohingya pope franci
2017-12-04 19:17:44,937762863397113856,pope franci defend decis take strong stand rohingya suggest communiti could persecut
2017-12-04 19:17:21,937762768383483904,pope franci meet rohingya refuge moment cri tri hide cri http
2017-12-04 19:17:02,937762687286734848,dr jimmi peter ten reason franci formal magisteri asseion communion heresi realli count http
2017-12-04 19:17:00,937762679539806208,integr mean allow refuge migrant paicip fulli life societi welcom
2017-12-04 19:16:34,937762570190053376,icymi pope franci said chose public refer rohingya muslim myanmar effo increas ch
2017-12-04 19:16:31,937762557544271873,lead palestinian christian group urg pope franci reject isra govern invit launch 2018
2017-12-04 19:16:16,937762494231191552,pope franci angelus address advent time pay attent need other tri counter
2017-12-04 19:14:46,937762118262124545,break hea 2 kachin pastor show media crew destruct st franci xavier cathol church mong
2017-12-04 19:13:55,937761905275367424,pope franci say mere possess nuclear weapon irrat
2017-12-04 19:12:50,937761633505632256,said pope franci made moral amp polit miscalcul use term rohingya myanmar
2017-12-04 19:12:41,937761594469240832,jesuit pope back moslem christian pope franci face diplomat test burma visitintern c
2017-12-04 19:12:31,937761550789693440,wait perfect answer vocat call pope franci said messag world day prayer voca
2017-12-04 19:12:07,937761452634632194,think agre pope franci focus app
2017-12-04 19:11:02,937761177471541248,pope franci releas messag 2018 world day vocat
2017-12-04 19:10:26,937761028833718282,pope franci letter argentin bishop acta apostolica sedi
2017-12-04 19:10:23,937761016359899139,pope franci pray grandpar decemb
2017-12-04 19:10:02,937760927859929088,pope franci meet rohingya refuge moment cri tri hide cri
2017-12-04 19:10:00,937760920234840064,pope franci meet rohingya refuge moment cri tri hide cri
2017-12-04 19:07:34,937760306666852352,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 19:07:06,937760191264755712,hear religi right like pope franci understand unlik pope spoke judg
2017-12-04 19:05:56,937759893888565248,begin advent journey pope franci remind us jesus seek bring us salvat
2017-12-04 19:04:04,937759425904939010,travel pope franci
2017-12-04 19:04:02,937759417700794368,pope franci pray grandpar decemb via
2017-12-04 19:03:22,937759249526075397,respons current event watch news princ harri meghan markl pope franci
2017-12-04 19:02:54,937759132119072768,impoant pope franci gave author authent magisterium letter argentinian bishop
2017-12-04 19:01:54,937758882314809344,pope franci presenc god today also call rohingya
2017-12-04 19:01:39,937758819597287425,pope franci wrap asia tour meet rohingya
2017-12-04 19:01:20,937758737972031488,pope franci presenc god today also call rohingya
2017-12-04 19:00:28,937758518169419776,seek happi materi thing sure way unhappi pope franci
2017-12-04 19:00:25,937758509168562176,wait perfect answer vocat call pope franci said messag world day prayer voca
2017-12-04 19:00:16,937758471012970496,know pope franci receiv special lamborghini check
2017-12-04 19:00:11,937758450024673286,sorri dont get mean bibl finish written 2000 year ago right john p
2017-12-04 19:00:06,937758425668292609,pope franci god call make excus via
2017-12-04 19:00:02,937758411030171652,pope franci first 227 simpl gematria math
2017-12-04 18:59:30,937758276573331459,rebih new roman umpir complet emperor obaman fals pope franci stood whi
2017-12-04 18:59:12,937758200790732800,pope franci god call make excus via
2017-12-04 18:59:08,937758185766707200,remnant newspap new remnant tv
2017-12-04 18:59:01,937758154237939712,pope franci god call make excus via
2017-12-04 18:57:56,937757881306374147,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 18:57:36,937757796484993024,4 year ago today interview news pope franci graphic made look like new pope http
2017-12-04 18:57:35,937757793431490560,tactic pope franci use enjoy call peopl obscur heresi millennia ago either
2017-12-04 18:57:10,937757688158736390,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 18:56:17,937757466246500353,pope franci said cold war era polici nuclear deterr longer viabl mere possess nuclea
2017-12-04 18:55:15,937757207139008512,pope franci pray grandpar decemb via
2017-12-04 18:55:06,937757168543109122,great human famili necessari renew alway common horizon toward journey horiz
2017-12-04 18:55:04,937757162671165440,pope franci explain use word rohingya myanmar
2017-12-04 18:53:49,937756845070082048,pope franci pray grandpar decemb via
2017-12-04 18:53:38,937756801671426048,word pope franci deliv communiti peac build address 01
2017-12-04 18:53:28,937756756469567488,integr mean allow refuge migrant paicip fulli life societi welcom
2017-12-04 18:53:23,937756737464975360,pope franci pray grandpar decemb via
2017-12-04 18:52:56,937756625326264320,day introduc pope franci rohingya
2017-12-04 18:51:28,937756255095083016,true holi father must help less founat monetari least
2017-12-04 18:51:26,937756247939584000,threat wonder excommun yet chomo priest given mani chanc
2017-12-04 18:50:51,937756100509798408,cardin evolv beyond state right wrong thank pope franci comment cupich credit hi
2017-12-04 18:50:32,937756021648494592,day 2 famili focus advent calendar thought day pope franci parent wast
2017-12-04 18:49:41,937755804270292998,popeinbangladesh pope franci end trip bangladesh visit mother teresa home
2017-12-04 18:48:25,937755487168286720,pope franci pronounc word assidu avoid day earlier myanmar rohingya
2017-12-04 18:48:10,937755423989313536,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 18:48:08,937755414334181377,one human famili migrant journey hope pope franci
2017-12-04 18:47:32,937755264157175808,hope forc drive us share journey migrant refuge say pope franci sharejourney video
2017-12-04 18:47:28,937755248961101825,pope franci pray grandpar decemb
2017-12-04 18:47:16,937755196184317952,one name stori pope franci bologna break bread migrant urg hope
2017-12-04 18:47:04,937755148956438530,pope franci explain use word rohingya myanmar
2017-12-04 18:46:45,937755069096718336,pope franci pray grandpar decemb
2017-12-04 18:46:09,937754916503932933,said pope franci declar danger relationship jesus theconservativeonlin
2017-12-04 18:46:02,937754886363598848,power voic nuclear disarma pope becom
2017-12-04 18:45:54,937754852020678658,day introduc pope franci rohingya
2017-12-04 18:45:22,937754719652544512,pope franci prayer intent decemb elder rv
2017-12-04 18:44:42,937754551167352832,hear religi right like pope franci understand unlik pope spoke judg
2017-12-04 18:43:18,937754200334852102,rebih new roman umpir complet emperor obaman fals pope franci stood whi
2017-12-04 18:43:16,937754192218939394,pope franci prayer intent decemb elder
2017-12-04 18:43:09,937754162846035969,retweet pope franci faith becom tangibl find express love especi
2017-12-04 18:41:20,937753706602422273,
2017-12-04 18:41:12,937753670430715904,pope franci end asia tour meet rohingya
2017-12-04 18:41:08,937753655146672128,need strengthen convict one singl human famili pope franci laudato si
2017-12-04 18:40:58,937753614101213184,petit suppo cathol laiti filial correct pope franci firma la peti vía
2017-12-04 18:40:35,937753514520055809,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 18:40:12,937753419959488513,4 year ago today interview news pope franci graphic made look like new pope http
2017-12-04 18:40:02,937753376464494594,
2017-12-04 18:39:27,937753232469843968,
2017-12-04 18:38:50,937753076802371584,pope franci urg govern make legal immigr easier said leader also recogn
2017-12-04 18:38:47,937753061111619593,wonder action love pope franci main luther
2017-12-04 18:37:35,937752761516490752,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 18:36:52,937752581325099008,grate beacon hope global stage everi singl day faith becom tangibl find ex
2017-12-04 18:36:45,937752551201447936,grate beacon hope global stage everi singl day faith becom tangibl find ex
2017-12-04 18:36:32,937752496419651584,finish translat pope franci said flight back bangladesh instead post thes
2017-12-04 18:36:29,937752484583526400,finish translat pope franci said flight back bangladesh instead post thes
2017-12-04 18:36:12,937752413343272960,imposs squar perenni doctrin disciplin cathol faith pope franci elev comm
2017-12-04 18:35:51,937752325183168515,wonder pictur pope franci kiss consecr hand new priest ordain bangladesh
2017-12-04 18:35:43,937752291544846338,said pope franci made moral amp polit miscalcul use term rohingya myanmar
2017-12-04 18:35:13,937752163677294595,pope franci warn terror gossip end
2017-12-04 18:35:08,937752146539192320,apostol letter pope franci clear heresey cardin brandmul burk abl take action
2017-12-04 18:35:06,937752137768955904,advent time given us welcom lord come meet us verifi desir god look
2017-12-04 18:35:06,937752136540180480,4 year ago today interview news pope franci graphic made look like new pope http
2017-12-04 18:34:09,937751895178870790,icymi pope franci ask weekend caus chang church teach deterr
2017-12-04 18:32:46,937751550897909760,pope franci ask forgiv rohingya muslim christian slaughter middl east
